id,title,age,available,neighbourhood,postcode,type,rooms,monthly_price_usd,monthly_min_usd,monthly_max_usd,link,long,lat,postcode_latlong,commute_time,commute_distance
101234227,Private Room in 3b/1b in NoLita,14,1 Sep,NoLita,10012,apartment,3,"$1,950",1950,1950,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101234227&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D700%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9976946,40.7250632,40.7250632+-73.9976946,835,4865
100847293,"Charming Room Inicludes All Utils, WiFi, W/D, Grdn",14,1 Aug,Park Slope,11215,apartment,3,"$1,100",1100,1100,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=100847293&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D700%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9800645,40.6681669,40.6681669+-73.9800645,2117,12950
101234110,Large room available in a 2BR in Murray Hill,14,Available Now,Murray Hill,10016,apartment,2,"$1,400",1400,1400,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101234110&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D700%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9800645,40.74727,40.74727+-73.9800645,959,1577
101233939,Sunny Bedroom,14,Available Now,Flatbush - Ditmas Park,11226,house,3,$850,850,850,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101233939&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D700%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9536163,40.6470923,40.6470923+-73.9536163,2975,16474
100699585,Need a roommate ASAP,14,Available Now,Long Island City,11101,apartment,2,$900,900,900,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=100699585&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D710%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9418603,40.7443091,40.7443091+-73.9418603,1429,4383
101233600,Bedroom Available in East Village /Alphabet City,14,1 Jul,Alphabet City,10009,apartment,2,"$1,650",1650,1650,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101233600&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D710%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9800645,40.7275043,40.7275043+-73.9800645,1611,5054
101107642,Large Garden-Level Room in Park Slope duplex,14,1 Sep,Park Slope,11215,apartment,2,"$1,500",1500,1500,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101107642&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D710%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9800645,40.6681669,40.6681669+-73.9800645,2117,12950
101233633,Beautiful Light-Filled 2BR in Ridgewood with Yard,14,Available Now,Ridgewood,11385,apartment,2,"$1,200",1200,1200,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101233633&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D710%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.8948295,40.698070800000004,40.6980708+-73.8948295,3218,15182
101001349,Central Harlem  Share w/Utilities Included,14,Available Now,Morningside Heights,10027,apartment,3,"$1,000",1000,1000,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101001349&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D710%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.96243270000001,40.8138912,40.8138912+-73.9624327,1949,7889
101216971,2 Min from Brklyn Museum Subway/Prospect Park,14,1 Aug,Brooklyn,11238,apartment,2,"$1,525",1525,1525,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101216971&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D710%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.96243270000001,40.6805029,40.6805029+-73.9624327,1887,12111
100561234,1 bedroom apartment - for rent,14,Available Now,Astoria,11103,apartment,2,"$1,000",1000,1000,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=100561234&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D710%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9109977,40.7633726,40.7633726+-73.9109977,1826,8082
100958659,Room fot rent in a private house,14,1 Aug,East Elmhurst,11369,house,3,$650,650,650,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=100958659&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D710%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.86836970000002,40.7659246,40.7659246+-73.8683697,3335,14557
101233201,"Bushwick apartment, dog-watch incentive",14,20 Jul,Bushwick,11221,apartment,2,$950,950,950,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101233201&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D710%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9271644,40.6903213,40.6903213+-73.9271644,1674,12026
100853998,"Sunny rooms, 15 mins to Manh, 4 xpress stops",14,Available Now,Bedford - Stuyvesant,11216,apartment,3,"$900- $1,050",900,1050,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=100853998&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D710%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9506774,40.6788319,40.6788319+-73.9506774,1778,13268
100118128,"King Bed, En Suite Bath Great Location by Barclays",14,1 Oct,Prospect Heights,11238,house,2,"$1,600",1600,1600,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=100118128&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D720%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.96243270000001,40.6805029,40.6805029+-73.9624327,1887,12111
